,Content
539,"Uttarakhand Chief Minister Trivendra Singh Rawat resigned on Tuesday, ending days of speculations about a leadership change in the Bharatiya Janata Party-ruled hill state amid reports of discontent against him. Rawat submitted his resignation to Governor Baby Rani Maurya at the Raj Bhawan here upon his arrival from Delhi after meeting the central BJP leadership. His resignation comes nine days before the BJP government completes four years in power. Here is all you need to know what prompted the move:"
540,"Chrissy Teigen recently shared a funny video of her dancing awkwardly at a New York restaurant, with the song Jaaneman Aah playing in the background. The song is from Varun Dhawan and Parineeti Chopra’s film Dishoom, and the two actors were excited to see the American model and celebrity chef dancing to it.The clip showed Chrissy in a restaurant with pink ambience and multicoloured hanging lights. She wore a fluffy white tulle top with a pair of well-fitted denims and a flap bag with her. The video and Chrissy’s expressions will crack you up. "
541,"Amid the world’s largest vaccination drive taking place in India, a 103-year-old Karnataka resident has become the country’s oldest female to be inoculated on Tuesday. J Kameshwari is now India’s oldest woman to have been administered the coronavirus vaccine, Apollo Hospitals in Bannerghata where she received the first dose said.Healthcare workers at the hospital said the 103-year-old has not had any side-effects to the vaccine dose so far and she was also accompanied by her 77-year-old son who also got the vaccine dose, reports said. "
542,"Dogs bark. Dogs bite – and dogs definitely raise an alarm in a face of a threat. ‘First Dog’ Major isn’t an exception – but the Internet is convinced he should be.President Joe Biden has sent his two dogs back to his family home in Wilmington, Delaware, after the younger of the two German Shepherds was involved in a “biting incident” with a White House security agent, US media said Monday."
543,"Udupi Ramachandra Rao, remembered by many as ‘India's Satellite Man’ was an internationally renowned space scientist who made immense contributions to the development of space technology in India. Better known as U.R. Rao or Prof Rao, he is credited with extensive application to communications and remote sensing of natural resources.Here are some life-facts about him:"
544,"In a bid to speed up the process of Covid-19 vaccination, the BMC on Tuesday gave blanket permission to various hospitals across the city to conduct vaccination drive around the clock provided they had the necessary provisions for it.This decision was taken by the BMC after the city witnessed only a marginal rise in the number of vaccinations on Tuesday after the CO-WIN app stopped working, bringing the vaccination process to a halt at various facilities."
545,"Manchester United’s Uruguay international striker Edinson Cavani is unhappy in England and wants to finish his career in South America, his father told media in Argentina on Tuesday. Luis Cavani said the 34-year-old star was eyeing a possible move to Argentina’s Boca Juniors later this year.“(Edinson) today does not feel comfortable where he is,” Luis Cavani told Argentine television channel TyC Sports. “He has been thinking for more than two years that he wants to be closer to the family.”"
546,"School of Gender and Development Studies, IGNOU has launched a certificate in gender, agriculture, and sustainable development (CGAS). The course is available through Open Distance Learning Mode."
547,"Apple iPhone models for 2023 will come with a periscope telephoto lens, known analyst Ming-Chi Kuo has said in a new research note. This, if true, will mean that Apple will go with the technology much after many Android brands used the camera technology on their smartphones. Apple hasn’t yet adapted the technology on the iPhone, although reports have previously suggested that the Cupertino-based giant is interested in bringing the new iPhone models with a periscope lens. A periscope lens substantially improves the zoom capabilities of a smartphone.The new research note from Kuo was first obtained by MacRumours, who quoted the TF securities analyst as predicting Apple’s plans of putting a periscope camera on the iPhone. The analyst had earlier speculated an earlier timeline for Apple putting a periscope lens on its iPhone. In July 2020, Kuo had said that Apple may put a periscope lens on the iPhone in 2022. While an iPhone periscope lens is still something that is under speculation, Android manufacturers like Samsung, Oppo, and Huawei have been using periscope lens on their smartphones since a while to offer hybrid zoom. Samsung has even gone ahead and offered up to 100x Space Zoom technology on its Samsung Galaxy S20 Ultra and the Galaxy S21 Ultra. "
548,"A fireball that lit up the sky over the United Kingdom and Northern Europe on February 28 was an extremely rare type of meteorite. Fragments of the space rock discovered on a driveway in the Cotswolds could provide answers to questions about the early history of the solar system and life on Earth. Almost 300 grams (10.6 ounces) of the meteorite have been collected from the small Gloucestershire town of Winchcombe by scientists, who said the rock was formed of carbonaceous chondrite. The substance is some of the most primitive and pristine material in the solar system and has been known to contain organic material and amino acids — the ingredients for life.The Natural History Museum in London said the fragments were retrieved in such good condition and so quickly after the meteorite’s fall that they are comparable to rock samples returned from space missions, both in quality and quantity. “I was in shock when I saw it and immediately knew it was a rare meteorite and a totally unique event. It’s emotional being the first one to confirm to the people standing in front of you that the thud they heard on their driveway overnight is in fact the real thing,” said Richard Greenwood, a research fellow in planetary sciences at The Open University, in a statement from the museum. He was the first scientist to identify the meteorite."
549,"First Quad Leaders’ Meeting on March 12; PM Modi to Meet Joe Biden VirtuallyPrime Minister Narendra Modi will take part in the first Leaders’ Summit of the Quadrilateral Framework along with his Australian counterpart Scott Morrison, Japanese counterpart Yoshihide Suga and US President Joseph R Biden. The summit will be held virtually on March 12.  The leaders will discuss regional and global issues of shared interest, and exchange views on practical areas of cooperation towards maintaining a free, open and inclusive Indo-Pacific region"
550,"Following an outcry over the lack of diversity in last year’s nominees and an overhaul of its rules and regulations, the EE British Film Academy Awards on Tuesday unveiled a far more inclusive field of nominees, including record nods for female directors and a leading seven nominations for Chloe Zhao’s “Nomadland” and Sarah Gavron’s “Rocks.”Much like previous Academy Awards controversies, last year’s nominations by the British Academy of Film and Television Arts were denounced for their all-male directing nominees and all-white acting nominees, a backlash that spawned a #BaftasSoWhite hashtag. Director Steve McQueen said the BAFTAs — Britain’s equivalent of the Oscars — risked irrelevancy. After winning for his performance in “Joker,” Joaquin Phoenix said he felt “conflicted” even accepting the award."
551,"Priyanka Chopra was thrilled to see her memoir featured on a six-storey billboard in New York City, and took to Instagram to share her excitement. The actress posted a photo of the billboard outside Penn Station and called it surreal. “#Unfinished on a six-storey @amazonbooks billboard in NYC outside of Penn Station … Surreal! So thrilled to be included in this #WomensHistoryMonth celebration to amplify women’s voices. What makes it more special is that it’s exactly a month since I released Unfinished,” she wrote on Instagram. Hrithik Roshan, Zoya Akhtar and Dia Mirza were among Indian celebs who commented on her post."
552,"Two-term anti-incumbency and a ferocious BJP campaign has put pressure on the Trinamool Congress to come out with a promising manifesto.Carefully choosing Maha Shivratri to release the manifesto as part of Chief Minister Mamata Banerjee’s efforts to counter the BJP’s Hindutva card, sources say the manifesto will be a list of 10 commitments which the TMC will make. "
553,"No Smoking Day is celebrated each year on the second Wednesday of March to help and encourage people over the world to quit smoking. The day is also used to raise awareness about the harmful health effects of tobacco consumption through cigarette and other modes.The first No Smoking Day was on Ash Wednesday in 1984 in the United Kingdom and since then, it is being celebrated as an annual affair which tries to wean people off the harmful effects of smoking. This year, No Smoking Day 2021 falls on March 10."
554,"Uttar Pradesh state topper Pal Aggarwal is not satisfied with her score of 99.98 percentile and would attempt for the Joint Entrance Examination (JEE) Main again with an aim to score 100 percentile. The 17-year-old has not only topped in her state but is also fourth among female candidates. Over 6.20 lakh students appeared for the JEE Main February exam, of which 1.87 lakh were women. None of the female students could secure 100 percentile scorers and Aggarwal wishes to change that.Aggarwal said she would now start “targeted preparations” and focus only on her “weak points”. She would also increase focus on mock tests to increase her “test-taking” skills and go through her notes for revising the concepts. She would be skipping the March attempt and appear in the April attempt for JEE Main 2021, Aggarwal told news18.com."
555,"As cases continue to rise unabated across Maharashtra, State health secretary Dr Pradeep Vyas along with his team of experts has prepared a seven-point Covid-19 containment strategy. This plan includes universal or community-wide testing in hotspots (via RT-PCR or rapid antigen kits) where the contacts will be extensively traced within 48 hours and will be tested. The team which prepared the strategy has reviewed the levels of Covid spread in Nagpur, Pune, Mumbai, Amaravati, Yavatmal and Thane. And it has suggested that all districts should follow the same strategy. The plan also includes provisions of institutional quarantine facilities, audits of all Covid deaths, and restrictions on the size of social events, reported Times of India. "
556,"India has till date operationalised 325 air routes under the regional connectivity scheme ‘Ude Desh Ka Aam Nagrik’ or RCS-UDAN. The scheme was launched in 2016. Besides, a new route between Delhi and Bareilly under the UDAN-4 bidding process last year was commenced on Monday by Alliance Air. The Bareilly airport has been upgraded for commercial flight operations under the RCS-UDAN. It is the 56th airport under the scheme and marks the successful operationalisation of the eight airport of Uttar Pradesh after Lucknow, Varanasi, Gorakhpur, Kanpur, Hindon, Agra and Prayagraj.“Trishul Military airbase, Bareilly belongs to the Indian Air Force and the land was handed over to the Airport Authority of India for construction of the interim civil aviation operations,” the Ministry of Civil Aviation said in a statement."
557,"UK’s National Health Services has approved world’s ‘most expensive drug’ which is used to treat a rare genetic disorder. Manufactured by Novartis Gene Therapies, Zolgensma, has a reported list price of Rs 18 crore (£1.79 million) per dose, the NHS England said. The medicine is used to treat Spinal Muscular Atrophy (SMA), a rare and often fatal genetic disease that causes paralysis, muscle weakness and progressive loss of movement. Zolgensma will be used on babies and young children suffering the genetic disorder. Babies born with severe type 1 SMA  have a life expectancy of just two years.Studies have shown encouraging results as Zolgensma helped babies to breathe without a ventilator, sit up on their own and crawl and walk after a single infusion treatment. The treatment contains a replica of the mussing gene SMN1 and is given as a single intravenous infusion, the NHS said. The active ingredient onasemnogene abeparvovec goes into the nerves and restores the deformed gene, which then produces proteins essential for nerve function and controlling muscle movement."
558,"The year 2021 has started off on an exciting note for automakers in India with the premium SUV segment giving them better sales figures than other models. The segment has seen an upswing in sales due to Indian buyers showing interest in the SUV segment, which has shown a steady influx of new models. The sales figures look one-sided as the Japanese model tops the list, leaving others far behind.The latest sales figures shows, Toyota Fortuner sits at the top and has notched an insurmountable leadership as of now. The Japanese automaker’s ladder frame SUV tops the list with 2,053 units. The Fortuner, over the generations, has built a strong brand image and also has a dominating road presence with its rugged appeal, powerful engine, off-road capabilities among others. Added to that is Toyota’s amazing track record of after-sales experience and an equally amazing resale value has helped the Fortuner to cement its leadership place in the segment."
559,"No Smoking Day, as the name suggests, is to celebrate the efforts of those who are trying to quit the hazardous habit of smoking.On this day, many NGOs and other organisations conduct events to raise awareness about the impact of smoking in daily life. Each year, the day is marked on the second Wednesday of March. This year, the day is falling on March 10. "
560,"Alia Bhatt has tested negative for coronavirus, a news report has confirmed. It stated, “Alia takes the test nearly every day and today also she has tested negative but has still isolated herself. Ranbir Kapoor caught the virus on the sets of Brahmastra and is recovering currently.”"
561,"US Vice President Kamala Harris’ husband, Doug Emhoff, is getting settled in a new job teaching law at Georgetown University amid a high-pressure moment in US history. There is the pandemic and the vaccinations, the $1.9 trillion relief package and the open wounds of a political divide that led to the January 6 assault on the US Capitol. But Emhoff’s dinner conversation with his wife would be familiar to almost any married couple: “How was your day?”“I talk about how it’s going, how I’m trying to reach the students, and how they’re responding to me,” Emhoff told reporters on Monday. “And look, it’s odd the second gentleman is their teacher. But we kind of dispensed with that. It was maybe five minutes in the first class.” Emhoff said his wife tends to be interested in what happens in the class, since she is a lawyer, too."
562,"A first-ever leaders’ meeting of the Quad group of countries on Friday plans to announce financing agreements to support an increase in manufacturing capacity for coronavirus vaccines in India, a senior US administration official told Reuters.The financing agreements will be between the United States, Japan and others and focus particularly on companies and institutions in India manufacturing vaccines for American drugmakers Novavax Inc and Johnson & Johnson, the official, who did not want to be identified by name, said."
563,"No Smoking Day started in the United Kingdom in 1984. Since then, many countries and states have adopted the day as a way to raise awareness about the health hazards of smoking through advertisements, social media, or even word of mouth.The day is aimed at raising awareness as well as encouraging people to quit smoking. According to some reports, 1 in 10 smokers use this day to take a break from the habit in UK on No Smoking Day."
564,"Meghan Markle and Prince Harry’s recent interview with Oprah Winfrey has been causing shock waves across the world for the accusations the couple made against the British Royal family and why they exited the life.In the interview, Markle has a no-holds-barrier approach and touches on topics from race to mental health. The two-hour interview is the biggest royal tell-all since Harry’s mother Princess Diana detailed her crumbling marriage to his father Prince Charles in 1995."
565,"No Smoking Day is celebrated on the second Wednesday of March. The day is marked to raise awareness about the health hazards and the impact of smoking on a person’s everyday life. On this day, many organisations and groups also celebrate the efforts of people who are trying to quit the habit of smoking.It is no secret that the hazardous elements of a cigarette not only harm the person who is smoking, but also impact those who are around him or her. "
566,"The White Tiger actor Adarsh Gourav has bagged a British Academy Film Awards (BAFTA) nod in the Best Actor category as the shortlist was announced on Tuesday. Apart from Adarsh, other nominees in the category include seasoned, international names like Riz Ahmed (Sound Of Metal), late Chadwick Boseman (Ma Rainey’s Black Bottom), Mads Mikkelsen (Another Round), Anthony Hopkins (The Father) and Tahar Rahim (The Mauritanian).It just so happens, News18 interacted with Adarsh when he had made the longlist of BAFTA nominations and was competing with fifteen other actors, back in February. On how hopeful he was about the international awards season and grabbing a trophy for his performance as Balram Halwai in The White Tiger, Adarsh had said, “It feels great to be nominated alongside your childhood heroes like Anthony Hopkins, Gary Oldman, Tom Hanks, Chadwick Boseman, Riz Ahmed and all these people but I don’t think anybody can predict what can happen. For someone like me who is just starting out, getting nominated is an award. I don’t have any expectations. I don’t try to think about these things. I just try focus on the present.”"
567,"Top officials in the government, on conditions of anonymity, said on Wednesday that India will send 4.5 crore doses of home-made covid-19 vaccines to Pakistan under an agreement with vaccine alliance, GAVI.GAVI is a public–private global health partnership with the goal of increasing access to immunisation."
568,"World No Smoking Day 2021, which is celebrated on the second Wednesday of March every year, will be marked on March 10. The day is dedicated to raising awareness against the dangers involved with the habit of smoking tobacco products like cigarettes, cigars, or beedi.It is also meant to help habitual smokers who currently want to break the habit and quit the unhealthy habit. Additionally, the day is also meant to prevent others from picking up the dangerous habit at all."
569,"Even as CM Uddhav Thackeray left the decision of lockdown on local residents, the coronavirus situation seems to be worsening in Maharashtra with the state recording 13,659 fresh cases. Mumbai saw 1,539 infections and five deaths in the last 24 hours. According to officials, 229 building have been sealed in the financial capital, 8,855 high risk contacts have been traced in a day and 25 places have been demarcated as active containment zones.The one-day tally is the highest spike this year, which took the state’s caseload to 22,52,057, a health official. With overall 54 fatalities, the death toll stood at 52,610, he said."
570,"NEW YORK:  Stocks that traded heavily or had substantial price changes Tuesday:Del Taco Restaurants Inc., up 16 cents to $11.12."
571,"SIOUX FALLS, S.D.:  Hannah Sjerven scored 20 points with nine rebounds and second-seeded South Dakota earned its third straight NCAA Tournament bid with a 66-43 romp over eighth-seeded Omaha in the Summit League championship on Tuesday.Chloe Lamb hit three 3-pointers and scored 17 points for the Coyotes (19-5), who won their ninth-straight game  including three tournament games by a total of 72 points. Lamb scored 57 points in the three games."
572,PITTSBURGH:  Marcus Allen is staying in Pittsburgh. And staying at linebacker too.The Steelers announced on Tuesday they have signed Allen to a one-year deal for the 2021 season. Allen had been an exclusive rights free agent.
573,"Benchmark U.S. crude oil for April delivery fell $1.04 to $64.01 a barrel Tuesday. Brent crude oil for May delivery fell 72 cents to $67.52 a barrel.Wholesale gasoline for April delivery was unchanged at $2.05 a gallon. April heating was unchanged at $1.91 a gallon. April natural gas was unchanged at $2.66 per 1,000 cubic feet."
574,"LITTLE ROCK, Ark.:  Arkansas Gov. Asa Hutchinson on Tuesday signed into law legislation banning nearly all abortions in the state, a sweeping measure that supporters hope will force the U.S. Supreme Court to revisit its landmark Roe v. Wade decision but opponents vow to block before it takes effect later this year.The Republican governor had expressed reservations about the bill, which only allows the procedure to save the life of the mother and does not provide exceptions for those impregnated by rape or incest. Arkansas is one of at least 14 states where legislators have proposed outright abortion bans this year."
575,"ATLANTA:  The Atlanta Falcons have saved almost $4 million from the 2021 salary cap by cutting veteran offensive guard James Carpenter.Tuesday’s move comes after the team already cleared almost $11 million in cap space by releasing two veterans, safety Ricardo Allen and defensive end Allen Bailey."
576,"President Joe Biden will not be attaching his signature to the $1,400 relief checks that are expected to be mailed soon  a break with his predecessor who last year had President Donald J. Trump printed on the economic impact payments approved by Congress.The next round of paper checks will bear the signature of a career official at the Treasury Department’s Bureau of the Fiscal Service, White House press secretary Jen Psaki said at a Tuesday briefing. Biden’s $1.9 trillion rescue plan is expected to be approved by the House this week with payments going out to eligible households afterward."
577,"MINNEAPOLIS:  Because the trial of a former Minneapolis police officer charged in George Floyd’s death is being held during the coronavirus pandemic, the courtroom has been overhauled for safety.Gone are the traditional jury box and gallery, replaced with widely spaced seats and desks for a limited contingent of attorneys, jurors and media. Plexiglas barriers and hand sanitizer are everywhere, and the participants  even the judge  wear masks."
578,"NASHVILLE, Tenn.:  A Tennessee panel voted 25-1 on Tuesday to remove the Capitols bust of a Confederate general and early Ku Klux Klan leader.The Tennessee Historical Commission agreed to move the Nathan Bedford Forrest bust to the Tennessee State Museum, saying that facility is better equipped to provide the appropriate context."
579,"CHARLOTTE, N.C.:  The Carolina Panthers have placed the franchise tag on Taylor Moton while still hoping to work out a long-term extension with the fourth-year offensive tackle.If no long-term deal is reached by July 15, Moton would make between $13 million and $14 million next season depending on the NFL salary cap  which has yet to be established  and would be eligible for free agency next year."
580,"DUBAI, United Arab Emirates:  American teen Coco Gauff led a day of upsets in the second round of the Dubai Championships on Tuesday, when top-seeded Elina Svitolina lost and Petra Kvitova dropped out with a hip problem.The 16-year-old Gauff fought back to defeat 12th-seeded Marketa Vondrousova 3-6, 6-0, 6-4 to set up a third-round clash with Tereza Martincova, who upset the fifth-seeded Kiki Bertens 6-1, 6-4."
581,"EAST RUTHERFORD, N.J.:  For the second consecutive year, the New York Giants have given the franchise tag to defensive tackle Leonard Williams.The Giants applied the non-exclusive franchise tag on Tuesday, just before the league deadline. He earned $16.1 million on the 2020 tag and a second franchise tag is worth 120% of the previous seasons contract. Unless the 26-year-old Leonard and the team reach a long-term deal by July 15, he will earn more than $19 million for the upcoming season."
582,"CHICAGO:  The Chicago Bears placed the franchise tag on star receiver Allen Robinson on Tuesday, setting up a potential messy situation with their most consistent playmaker on offense.The sides have until July 15 to reach a multiyear deal. Otherwise, he would play next season for approximately $16.4 million assuming he signs."
583,"TUNIS, Tunisia:  Tunisia received its first batch of coronavirus vaccines on Tuesday  30,000 doses of Russias Sputnik V  and will start inoculations on Saturday.The North African country’s vaccination program has dragged behind its neighbors, even as virus infections and hospitalizations have remained high."
584,"LAS VEGAS:  Oregon had to battle through two COVID-19 pauses, injuries to two of its best players and a long stretch of inactivity.Once the Ducks got rolling, it was tough for any team to stop them."
585,"George Springer, Trevor Bauer and Francisco Lindor are wearing blue now.Springer received the biggest contract in the offseason from the Toronto Blue Jays. Bauer got the most money per season from the Los Angeles Dodgers. Lindor was traded to the New York Mets in a six-player deal."
586,"CLEVELAND:  The Cleveland Browns released veteran defensive end Adrian Clayborn after one season on Tuesday, clearing out a little more salary cap space.Clayborn appeared in 15 games for the Browns last season after signing a two-year, $5.75 million contract as a free agent in March. The 32-year-old had 3 1/2 sacks, 12 tackles and forced a fumble while in Cleveland’s defensive line rotation."
587,"CHICAGO:  A Trump-era immigration rule denying green cards to immigrants who use public benefits like food stamps was dealt likely fatal blows Tuesday after the Biden administration dropped legal challenges, including before the Supreme Court.Continuing to defend the rule is neither in the public interest nor an efficient use of limited government resources, the U.S. Department of Homeland Security said in a statement."
588,"GAZA CITY, Gaza Strip:  The Islamic militant group Hamas on Tuesday was holding a leadership election in its Gaza Strip stronghold, a race with deep implications for its relations with Israel and other regional players, as well as upcoming Palestinian elections.A Hamas official said the field had narrowed down to a tight race between Yehiyeh Sinwar, the group’s current firebrand leader, and Nizar Awadallah, a co-founder of the movement. The official spoke on condition of anonymity because he was discussing internal deliberations of the secretive group."
589,"PROVIDENCE, R.I.:  The remains of a Cold War-era Russian submarine once seen in a movie starring Harrison Ford caught fire in Providence on Tuesday morning as workers were using a blowtorch to cut it up for scrap, fire officials said.The fire at a waterfront scrap yard sent a plume of black smoke over the city at about 9:30 a.m. but was quickly extinguished. No one was hurt."
590,"WASHINGTON:  After years of Democratic accusations that former President Donald Trump was too soft on Russia, the Biden administration is facing Republican criticism of its approach to Moscow.In particular, Republicans accuse him of not doing enough to halt a gas pipeline to Europe that many believe will give Russia a tool for political influence over energy-dependent Central and East European nations. To make their point, theyve delayed confirmation of some of Bidens top national security nominees, including for the CIA and top spots at the State Department."
591,UNITED NATIONS:  Iran has rejected what it says are Israels unfounded allegations that Iran’s Revolutionary Guard attacked an Israeli-owned cargo ship near the Gulf of Oman last month.Iran’s U.N. ambassador in a letter circulated Tuesday accused Israel of playing the victim to distract attention away from all its destabilizing acts and malign practices across the region.
592,"MIAMI:  After Miami Marlins newcomer Gio Gonzlez threw batting practice at the team’s spring training complex Tuesday, he sat to reminisce about growing up as a fan of the club, ticking off a long list of favorite players and souvenirs.Topping the list: the foul ball he fetched as a 12-year-old off the bat of Luis Castillo."
593,"LONDON:  One of the most dramatic claims in Prince Harry and Meghan’s interview with Oprah Winfrey was the allegation that their son was denied a royal title, possibly because of his skin color.Harry and Meghans son, seventh in line to the British throne, is Archie Mountbatten-Windsor. In contrast, the children of Harrys older brother, Prince William, are Prince George, Princess Charlotte and Prince Louis."
594,"NEW YORK:  Chlo Zhao and Emerald Fennell have been nominated for outstanding directorial achievement by the Directors Guild of America, marking the first time two women have ever competed for the guild’s top honor.The 73rd Annual DGA Awards, considered a strong indicator of directing honors at the Academy Awards, announced nominees Tuesday. In the more than seven decades of the awards, only nine times before had a female filmmaker been nominated for best director. Most recent was Greta Gerwig in 2018 for Lady Bird."
595,"Now that Dak Prescott got his record-breaking contract, Lamar Jackson, Josh Allen and Baker Mayfield are in line to top it.Baltimore Ravens general Eric DeCosta said Tuesday hes had conversations with Jackson but the two sides havent started official negotiations."
596,"LONDON:  British television host Piers Morgan on Tuesday quit the Good Morning Britain program after making contentious comments about Meghan following her bombshell interview about the royal family.The U.K.s media watchdog said earlier Tuesday that it was launching an investigation into the show under its harm and offense rules after receiving more than 41,000 complaints over Morgans comments about the Duchess of Sussex."
597,"FORT WORTH, Texas:  Sydni Harvey scored 14 points and No. 20 South Florida, the top seed in the American Athletic Conference tournament, avoided a major upset on Tuesday with a 48-44 win over ninth-seeded Wichita State in the quarterfinals.Elena Tsineke added 12 points for the Bulls (16-3), who overcame 24.6% shooting (15 of 61) and 16 turnovers. They will play fourth-seeded Temple in the semifinals on Wednesday."
598,"PRISTINA, Kosovo:  Kosovo’s soccer federation warned its Spanish counterpart on Tuesday to respect the Balkan country’s sovereignty when they play their World Cup qualifier in Seville this month.The federation took issue with the Spanish national team’s references, in a press release and on Twitter, to Kosovo as a territory. The teams are scheduled to play March 31."
599,"Erling Haaland scored twice for Borussia Dortmund to reach the Champions League quarterfinals in a heated 2-2 draw with Sevilla on Tuesday. Haaland took his season tally to 10 goals for Dortmund to progress with a 5-4 win on aggregate. The Bundesliga team won the first leg of their last-16 tie 3-2 in Seville, where Haaland also scored two.The Norwegian has 20 altogether in just 14 appearances in Europe’s premier tournament in his young career, and he was the key factor in Dortmund advancing."
600,"Tom Holland has bravely stripped off his Spider-Man costume to play a gritty, heroin-addicted veteran in the new movie Cherry, looking in no way like a superhero. Unfortunately, no one told the filmmakers."
601,"SPRINGFIELD, Ill.:  A state prison guard on Tuesday pleaded guilty to federal felony charges related to the 2018 beating death of an inmate at Western Illinois Correctional Center.Willie Hedden, 42, of Mount Sterling, entered the plea to two counts of civil rights violations and one count of providing misleading information in the subsequent investigation of the May 17, 2018 injuries sustained by 65-year-old Larry Earvin."
602,Here’s what’s happening Tuesday with the coronavirus pandemic in the U.S.:THE NUMBERS:
603,"NEW YORK:  The emotional center of Nicolle Wallace’s MSNBC show often comes at the very end, when statistics are set aside to tell the story of a life cut short by COVID-19.The Lives Well Lived feature, which is being expanded into a prime-time special on Wednesday to commemorate a year since the pandemic altered America, is one of a handful of continuing efforts in the media to give a face to suffering."
604,"BUFFALO, N.Y.:  Buffalo Bills center Mitch Morse agreed to take a $2 million pay cut to secure his spot on the roster and help the team free up much-needed space under the salary cap, a person with direct knowledge of the decision told The Associated Press on Tuesday.In restructuring his contract, Morse has an opportunity to recoup most of the lost salary through incentives, the person said speaking on the condition of anonymity because the Bills did not announce the move."
605,"O’FALLON, Mo.:  Eric Greitens’ political future seemed doomed by scandal when he resigned as Missouri governor. Now, he appears primed to test whether Sen. Roy Blunt’s retirement provides a path for redemption within a Republican Party searching for direction after former President Donald Trump’s election loss.Greitens, the 46-year-old ex-Navy SEAL officer whose fast political rise in 2016 was matched only by its swift decline two years later, has increasingly been laying the groundwork for a potential return to politics. He’s become a frequent guest on conservative radio and television, handed out masks to first responders, and has been outspoken on Twitter."
606,"MIAMI:  The state of Florida is suing President Joe Bidens administration over new directives that have halted detentions of some immigrants who have served time in prison.Floridas Attorney General Ashley Moody said on Tuesday that the new guidance has resulted in immigration officials declining to take custody of people who have served sentences for burglary, drug trafficking and other crimes."
607,"ALBANY, N.Y.:  Another woman is accusing New York Gov. Andrew Cuomo of workplace misconduct, a newspaper reported Tuesday.The details of the allegations werent immediately clear, but the Times Union of Albany reported Tuesday that the woman said Cuomo inappropriately touched her late last year at the governors mansion, where she had been summoned to work."
608,"Roger Mudd, the longtime political correspondent and anchor for NBC and CBS who once stumped Sen. Edward Kennedy by simply asking why he wanted to be president, has died. He was 93.CBS News says Mudd died Tuesday of complications of kidney failure at his home in McLean, Virginia."
609,"NEW YORK:  Patti Smith performed a mini-concert at the Brooklyn Museum on Tuesday to honor photographer Robert Mapplethorpe and add her voice to a series of pop-up events that represent New York City’s first baby steps toward the return of live indoor performances.Smith performed six songs as well as read poetry and excerpts from her book Just Kids in the Beaux-Arts Court at the museum, her voice bouncing off the skylight 60 feet above. It was a concert to also honor museum workers and drew just under 50 people, all socially distanced in widely spaced chairs."
610,"The big money that accompanies franchise tags for the 2021 season is going to receivers, safeties and linemen.No running backs. No tight ends. No linebackers. And, with Dak Prescott reaching agreement with the Dallas Cowboys on a new four-year deal, no quarterbacks."
611,"WASHINGTON:  An emotional former President Bill Clinton eulogized his longtime friend and advisor Vernon Jordan at a Tuesday memorial service, saying that in his civil rights work, in politics and in business, he was always in the freedom business.Jordan had an uncanny ability to read people — and to inspire them, Clinton said."
612,DENVER:  This was a promising sight for the Colorado Avalanche: Nathan MacKinnon going through on-ice drills in an optional practice.The speedy forward with the pinpoint-accurate shot appears on track to be back in the lineup Wednesday night against Arizona after missing the last three games with an upper-body injury.
613,"TAMPA, Fla.:  The Tampa Bay Buccaneers placed the franchise tag on wide receiver Chris Godwin and agreed to a two-year deal with linebacker Lavonte David, the first steps in what the Super Bowl champions hope will be a successful bid to keep a star-studded roster intact to help Tom Brady pursue an eighth NFL title.The 25-year-old Godwin earned $2.13 million in 2020 while ranking second to Mike Evans on the team with 65 receptions for 840 yards and seven touchdowns in 12 games. He stands to make about $16.4 million under the franchise tag next season."
614,"GREENSBORO, N.C.:  Isaiah Wong scored 20 points to lead five Miami starters in double figures as the Hurricanes beat Pittsburgh 79-73 on Tuesday in the opening game of the Atlantic Coast Conference tournament.Nysier Brooks converted a three-point play with 53.8 seconds left  his only points of the half  to cap a 9-0 run for a three-possession lead at 73-66. Wong added four free throws in the final 29 seconds to seal it as Miami made 22 of 28 at the stripe compared to 5-of-14 shooting for Pitt."
615,"PONTE VEDRA BEACH, Fla.:  The backdrop was a navy blue board filled with 33 logos of The Players Championship. Sitting next to PGA Tour Commissioner Jay Monahan was the gold trophy as he spoke about scrapping the tour’s premier event last year and how golf made it through the COVID-19 pandemic.At least there wasn’t a Mission Accomplished banner."
616,"For all the attention on the Seattle Mariners’ decision-making surrounding top prospect Jarred Kelenic, there is another young outfielder who seems more likely to be on the clubs opening day roster.Taylor Trammell has never played above Double-A. But with Kelenic sidelined by a knee injury and a couple of other outfielders struggling early in spring training, Trammell could have a shot at being on the field when the Mariners open the season on April 1 against San Francisco."
617,"NEW YORK:  A chance meeting at a dinner party by two people reluctant to be at that dinner party has resulted in a cookbook perfect for your next dinner party.Jesse Tyler Ferguson, star of Modern Family, and food writer Julie Tanous have teamed up for Food Between Friends, which blends dishes inspired by her native South and his New Mexico influences."
618,"NEW YORK:  Stocks that traded heavily or had substantial price changes Tuesday:Del Taco Restaurants Inc., up 16 cents to $11.12."
619,"SIOUX FALLS, S.D.:  Hannah Sjerven scored 20 points with nine rebounds and second-seeded South Dakota earned its third straight NCAA Tournament bid with a 66-43 romp over eighth-seeded Omaha in the Summit League championship on Tuesday.Chloe Lamb hit three 3-pointers and scored 17 points for the Coyotes (19-5), who won their ninth-straight game  including three tournament games by a total of 72 points. Lamb scored 57 points in the three games."
